RF_ID,Domain,Red_Flag,Description_of_Alleged_Pattern,WA_Public_Data_Testability,WA_Data_Source,WA_Signal_or_Metric,Status_Notes
RF-11,Category 2: Billing and Claims Anomalies Requiring Internal Data,Maximum-unit or implausible service-volume billing,Consistently billing maximum units.,Not Publicly Testable,HCA claims data (not public),Providers billing max daily units for all clients,Claims-level; records request
RF-12,Category 2: Billing and Claims Anomalies Requiring Internal Data,Out-of-state or impossible-location billing,Billing while provider is out of the country.,Not Publicly Testable,HCA claims + travel records (not public),Billing while provider/recipient out of state,Claims+investigation; surfaces only via enforcement cases
RF-13,Category 2: Billing and Claims Anomalies Requiring Internal Data,"Billing after death, absence, discharge, or ineligibility",Billing for hospitalized or deceased clients.,Not Publicly Testable,HCA claims vs death records (not public),Claims after recipient DOD,Claims-level; SAO concurrent-enrollment audit method analogous
RF-14,Category 2: Billing and Claims Anomalies Requiring Internal Data,"Cloned, missing, copied, or fabricated documentation",Identical care notes across beneficiaries.,Not Publicly Testable,Investigation reports (PDF narratives),Read AFH investigation PDFs for documentation findings,Public per facility (586 facilities have investigations) but requires PDF reading
RF-15,Category 2: Billing and Claims Anomalies Requiring Internal Data,Stolen credentials or unauthorized professional IDs,Unauthorized use of clinician identifiers.,Not Publicly Testable,Investigation/enforcement narratives; AGO cases,"Surfaces in enforcement cases (e.g., King Co imposter-nurse conviction 2026)",Public via court/AGO; not a dataset field
RF-16,Category 3: Oversight and Systemic Failures,Frontline referrals not acted upon or poorly triaged,Failure to act on credible referrals.,Partially Testable,SAO audits; complaint-to-action timing (not public),SAO 2021: Division does not determine credibility of MCO/DSHS fraud allegations,Documented qualitatively in SAO audits; case-timeline detail = records request
RF-17,Category 3: Oversight and Systemic Failures,"Payment holds, sanctions, exclusions, terminations, or enforcement history",Operating despite sanctions.,Partially Testable,DSHS RCS reports portal (enforcement letters); WA HCA termination/exclusion list; federal LEIE,DSHS RCS enforcement/sanction record (testable); HCA/LEIE exclusion cross-check (blocked by name linkage),"Sanction/enforcement component fully public (165 facilities w/ enforcement, 18 stop-placements). Exclusion cross-check returned 0 verified matches due to DBA-vs-legal-name gap (Section 6.6) -> partially testable overall."
RF-18,Category 3: Oversight and Systemic Failures,Reactive oversight and insufficient capacity,Audits triggered only by complaints.,Fully Testable,SAO 2021/2023 audits; HHS-OIG,SAO 2021: no statewide fraud plan; no risk-based audit targeting; reactive posture,Strongly documented in SAO audits
RF-19,Category 3: Oversight and Systemic Failures,Program design vulnerability,Low-barrier programs without gatekeeping.,Testable (qualitative),"Statute/rule (RCW 70.128, WAC 388-76); HCBS waiver design",Assess low-barrier entry / records requirements for AFH & HCBS lines,Documented via rule analysis; AFH has licensing barrier (unlike MN HSS)
RF-20,Category 3: Oversight and Systemic Failures,Unresolved audit findings or weak corrective action,Failure to implement mandated corrections.,Fully Testable,SAO follow-up; audit recommendation status,SAO Medicaid PI is a recurring audit series (2021->2023->2025); track recommendation closure,Testable via SAO follow-up reports
